Date,Round,RoundId,Djokovic N.,Federer R.,Murray A.,Nadal R.,Hewitt L.,Ivanisevic G.
27/6/22,1st Round,1,81,,74,41,,
29/6/22,2nd Round,2,79,,,106,,
1/7/22,3rd Round,3,30,,,54,,
3/7/22,4th Round,4,104,,,25,,
5/7/22,Quarterfinals,5,13,,,14,,
8/7/22,Semifinals,6,12,,,,,
10/7/22,The Final,7,40,,,,,
28/6/21,1st Round,1,253,41,28,,,
30/6/21,2nd Round,2,102,56,151,,,
2/7/21,3rd Round,3,114,34,,,,
5/7/21,4th Round,4,20,27,,,,
7/7/21,Quarterfinals,5,48,,,,,
9/7/21,Semifinals,6,12,,,,,
11/7/21,The Final,7,9,,,,,
1/7/19,1st Round,1,57,86,,274,,
3/7/19,2nd Round,2,111,169,,43,,
5/7/19,3rd Round,3,48,28,,72,,
8/7/19,4th Round,4,66,20,,69,,
10/7/19,Quarterfinals,5,23,7,,65,,
12/7/19,Semifinals,6,22,2,,,,
14/07/19,The Final,7,3,,,,,
3/7/18,1st Round,1,57,58,,127,,
5/7/18,2nd Round,2,126,73,,77,,
7/7/18,3rd Round,3,17,64,,80,,
9/7/18,4th Round,4,40,26,,93,,
11/7/18,Quarterfinals,5,28,,,4,,
14/07/18,Semifinals,6,1,,,,,
15/07/18,The Final,7,8,,,,,
4/7/17,1st Round,1,47,84,135,137,,
6/7/17,2nd Round,2,136,79,97,43,,
8/7/17,3rd Round,3,589,30,29,34,,
10/7/17,4th Round,4,51,11,46,,,
12/7/17,Quarterfinals,5,,7,,,,
14/07/17,Semifinals,6,,15,,,,
16/07/17,The Final,7,,6,,,,
28/06/16,1st Round,1,177,52,235,,,
30/06/16,2nd Round,2,55,772,76,,,
2/7/16,3rd Round,3,,91,67,,,
4/7/16,4th Round,4,,29,18,,,
6/7/16,Quarterfinals,5,,13,12,,,
8/7/16,Semifinals,6,,,9,,,
10/7/16,The Final,7,,,7,,,
29/06/15,1st Round,1,33,88,59,42,,
1/7/15,2nd Round,2,92,36,78,,,
3/7/15,3rd Round,3,26,69,27,,,
7/7/15,4th Round,4,14,22,25,,,
8/7/15,Quarterfinals,5,9,13,56,,,
10/7/15,Semifinals,6,20,3,,,,
12/7/15,The Final,7,2,,,,,
23/06/14,1st Round,1,56,83,105,51,120,
25/06/14,2nd Round,2,38,103,92,52,,
27/06/14,3rd Round,3,44,35,23,63,,
30/06/14,4th Round,4,17,22,18,,,
2/7/14,Quarterfinals,5,29,3,,,,
4/7/14,Semifinals,6,13,9,,,,
6/7/14,The Final,7,4,,,,,
24/06/13,1st Round,1,34,48,92,,10,
26/06/13,2nd Round,2,156,,75,,,
28/06/13,3rd Round,3,25,,29,,,
1/7/13,4th Round,4,13,,26,,,
3/7/13,Quarterfinals,5,6,,54,,,
5/7/13,Semifinals,6,8,,22,,,
7/7/13,The Final,7,,,1,,,
25/06/12,1st Round,1,38,43,47,80,,
27/06/12,2nd Round,2,48,68,59,,,
29/06/12,3rd Round,3,27,32,42,,,
2/7/12,4th Round,4,34,75,18,,,
4/7/12,Quarterfinals,5,29,33,5,,,
6/7/12,Semifinals,6,,1,6,,,
8/7/12,The Final,7,,4,,,,
21/06/11,1st Round,1,54,61,59,90,52,
23/06/11,2nd Round,2,36,55,83,69,,
25/06/11,3rd Round,3,30,23,33,92,,
27/06/11,4th Round,4,35,17,13,21,,
29/06/11,Quarterfinals,5,158,,44,9,,
1/7/11,Semifinals,6,158,,,4,,
2/7/11,The Final,7,19,,,,,
22/06/10,1st Round,1,1,60,90,189,159,
24/06/10,2nd Round,2,68,152,67,151,77,
26/06/10,3rd Round,3,97,86,32,41,20,
28/06/10,4th Round,4,31,16,21,66,,
30/06/10,Quarterfinals,5,26,,10,6,,
2/7/10,Semifinals,6,82,,,4,,
4/7/10,The Final,7,,,,13,,
22/06/09,1st Round,1,,65,76,122,98,
24/06/09,2nd Round,2,81,42,74,48,5,
26/06/09,3rd Round,3,106,32,31,32,55,
29/06/09,4th Round,4,25,12,18,17,23,
1/7/09,Quarterfinals,5,46,36,70,11,,
3/7/09,Semifinals,6,,34,,94,,
5/7/09,The Final,7,,6,,1,,
24/06/08,1st Round,1,,273,54,,64,
26/06/08,2nd Round,2,91,41,226,,69,
28/06/08,3rd Round,3,,53,38,,46,
30/06/08,4th Round,4,,27,10,,,
2/7/08,Quarterfinals,5,,43,,,,
4/7/08,Semifinals,6,,75,,,,
6/7/08,The Final,7,,,,,,
6/25/07,1st Round,1,,,,,,
6/28/07,2nd Round,2,,,,,,
6/29/07,3rd Round,3,,,,,,
2/7/07,4th Round,4,,,,,,
6/7/07,Quarterfinals,5,,,,,,
7/7/07,Semifinals,6,,,,,,
